Data,Iscritti conquistati
2020-04-01,5
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,1
2020-04-07,0
2020-04-08,0
2020-04-09,1
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,2
2020-04-15,0
2020-04-16,3
2020-04-17,1
2020-04-18,0
2020-04-19,0
2020-04-20,3
2020-04-21,1
2020-04-22,1
2020-04-23,2
2020-04-24,0
2020-04-25,1
2020-04-26,5
2020-04-27,3
2020-04-28,2
2020-04-29,0
2020-04-30,7
2020-05-01,5
2020-05-02,1
2020-05-03,4
2020-05-04,6
2020-05-05,3
2020-05-06,1
2020-05-07,2
2020-05-08,3
2020-05-09,5
2020-05-10,1
2020-05-11,4
2020-05-12,0
2020-05-13,3
2020-05-14,0
2020-05-15,1
2020-05-16,5
2020-05-17,3
2020-05-18,4
2020-05-19,1
2020-05-20,5
2020-05-21,2
2020-05-22,4
2020-05-23,7
2020-05-24,3
2020-05-25,4
2020-05-26,3
2020-05-27,13
2020-05-28,1
2020-05-29,4
2020-05-30,3
2020-05-31,5
2020-06-01,6
2020-06-02,14
2020-06-03,10
2020-06-04,5
2020-06-05,3
2020-06-06,8
2020-06-07,18
2020-06-08,13
2020-06-09,9
2020-06-10,13
2020-06-11,11
2020-06-12,6
2020-06-13,13
2020-06-14,14
2020-06-15,5
2020-06-16,1
2020-06-17,5
2020-06-18,6
2020-06-19,8
2020-06-20,11
2020-06-21,6
2020-06-22,1
2020-06-23,4
2020-06-24,5
2020-06-25,7
2020-06-26,6
2020-06-27,8
2020-06-28,13
2020-06-29,5
2020-06-30,5
2020-07-01,13
2020-07-02,9
2020-07-03,5
2020-07-04,6
2020-07-05,5
2020-07-06,9
2020-07-07,6
2020-07-08,6
2020-07-09,6
2020-07-10,5
2020-07-11,10
2020-07-12,10
2020-07-13,10
2020-07-14,11
2020-07-15,6
2020-07-16,7
2020-07-17,3
2020-07-18,4
2020-07-19,5
2020-07-20,23
2020-07-21,4
2020-07-22,5
2020-07-23,6
2020-07-24,5
2020-07-25,3
2020-07-26,2
2020-07-27,4
2020-07-28,4
2020-07-29,0
2020-07-30,5
2020-07-31,8
2020-08-01,7
2020-08-02,6
2020-08-03,5
2020-08-04,4
2020-08-05,15
2020-08-06,16
2020-08-07,5
2020-08-08,6
2020-08-09,8
2020-08-10,8
2020-08-11,11
2020-08-12,6
2020-08-13,9
2020-08-14,6
2020-08-15,8
2020-08-16,4
2020-08-17,9
2020-08-18,5
2020-08-19,4
2020-08-20,5
2020-08-21,8
2020-08-22,19
2020-08-23,15
2020-08-24,9
2020-08-25,5
2020-08-26,9
2020-08-27,5
2020-08-28,5
2020-08-29,4
2020-08-30,17
2020-08-31,10
2020-09-01,9
2020-09-02,4
2020-09-03,13
2020-09-04,4
2020-09-05,8
2020-09-06,12
2020-09-07,11
2020-09-08,3
2020-09-09,7
2020-09-10,7
2020-09-11,7
2020-09-12,9
2020-09-13,122
2020-09-14,59
2020-09-15,39
2020-09-16,21
2020-09-17,24
2020-09-18,35
2020-09-19,32
2020-09-20,52
2020-09-21,38
2020-09-22,19
2020-09-23,11
2020-09-24,17
2020-09-25,12
2020-09-26,3
2020-09-27,9
2020-09-28,21
2020-09-29,16
2020-09-30,10
2020-10-01,14
2020-10-02,9
2020-10-03,6
2020-10-04,30
2020-10-05,13
2020-10-06,12
2020-10-07,12
2020-10-08,17
2020-10-09,9
2020-10-10,14
2020-10-11,22
2020-10-12,9
2020-10-13,8
2020-10-14,5
2020-10-15,12
2020-10-16,7
2020-10-17,8
2020-10-18,14
2020-10-19,8
2020-10-20,3
2020-10-21,10
2020-10-22,15
2020-10-23,21
2020-10-24,18
2020-10-25,15
2020-10-26,16
2020-10-27,12
2020-10-28,14
2020-10-29,36
2020-10-30,14
2020-10-31,11
2020-11-01,19
2020-11-02,11
2020-11-03,7
2020-11-04,7
2020-11-05,8
2020-11-06,13
2020-11-07,14
2020-11-08,18
2020-11-09,8
2020-11-10,12
2020-11-11,7
2020-11-12,12
2020-11-13,17
2020-11-14,22
2020-11-15,10
2020-11-16,9
2020-11-17,29
2020-11-18,11
2020-11-19,7
2020-11-20,9
2020-11-21,33
2020-11-22,17
2020-11-23,7
2020-11-24,9
2020-11-25,11
2020-11-26,11
2020-11-27,11
2020-11-28,8
2020-11-29,6
2020-11-30,11
2020-12-01,26
2020-12-02,10
2020-12-03,12
2020-12-04,8
2020-12-05,33
2020-12-06,37
2020-12-07,19
2020-12-08,33
2020-12-09,15
2020-12-10,23
2020-12-11,11
