Data,Tempo di visualizzazione (ore)
2020-04-01,0.2174
2020-04-02,0
2020-04-03,0.0345
2020-04-04,0
2020-04-05,0
2020-04-06,1.0029
2020-04-07,0.2405
2020-04-08,0.2288
2020-04-09,1.3096
2020-04-10,0.4142
2020-04-11,0.1122
2020-04-12,0.0032
2020-04-13,0.6962
2020-04-14,1.5638
2020-04-15,0.0369
2020-04-16,1.8687
2020-04-17,2.1009
2020-04-18,0.226
2020-04-19,0.5752
2020-04-20,6.2854
2020-04-21,2.6303
2020-04-22,0.784
2020-04-23,1.4079
2020-04-24,2.8797
2020-04-25,2.0466
2020-04-26,6.2996
2020-04-27,2.2832
2020-04-28,3.1613
2020-04-29,2.8426
2020-04-30,8.9926
2020-05-01,6.6481
2020-05-02,4.0556
2020-05-03,1.6621
2020-05-04,10.2082
2020-05-05,2.4209
2020-05-06,4.6965
2020-05-07,2.0556
2020-05-08,5.957
2020-05-09,4.6919
2020-05-10,1.9668
2020-05-11,6.7758
2020-05-12,3.8191
2020-05-13,4.6538
2020-05-14,5.5551
2020-05-15,4.5667
2020-05-16,5.9303
2020-05-17,1.4793
2020-05-18,3.7153
2020-05-19,1.7473
2020-05-20,10.0969
2020-05-21,2.8141
2020-05-22,2.1805
2020-05-23,14.6935
2020-05-24,6.4357
2020-05-25,8.1064
2020-05-26,7.8158
2020-05-27,21.4117
2020-05-28,6.3696
2020-05-29,3.8236
2020-05-30,6.5672
2020-05-31,26.1211
2020-06-01,12.7483
2020-06-02,22.9538
2020-06-03,33.0203
2020-06-04,18.1624
2020-06-05,9.0504
2020-06-06,13.8999
2020-06-07,50.2412
2020-06-08,29.1506
2020-06-09,19.099
2020-06-10,45.8765
2020-06-11,20.8495
2020-06-12,12.9664
2020-06-13,34.3502
2020-06-14,46.5079
2020-06-15,17.7623
2020-06-16,12.8591
2020-06-17,9.6014
2020-06-18,37.5204
2020-06-19,10.8936
2020-06-20,13.7013
2020-06-21,17.4304
2020-06-22,7.7791
2020-06-23,10.7871
2020-06-24,23.7135
2020-06-25,14.0143
2020-06-26,9.3048
2020-06-27,13.3676
2020-06-28,50.5697
2020-06-29,18.028
2020-06-30,13.7034
2020-07-01,61.5704
2020-07-02,29.269
2020-07-03,15.643
2020-07-04,15.9411
2020-07-05,18.5126
2020-07-06,53.4426
2020-07-07,34.6851
2020-07-08,12.7052
2020-07-09,15.0038
2020-07-10,15.1574
2020-07-11,39.1123
2020-07-12,25.0378
2020-07-13,21.1577
2020-07-14,22.1863
2020-07-15,48.3694
2020-07-16,21.4298
2020-07-17,13.5033
2020-07-18,13.9034
2020-07-19,43.5798
2020-07-20,27.8506
2020-07-21,16.9933
2020-07-22,19.8551
2020-07-23,40.2249
2020-07-24,22.3125
2020-07-25,15.9839
2020-07-26,15.9959
2020-07-27,10.8157
2020-07-28,12.3826
2020-07-29,10.6531
2020-07-30,7.8001
2020-07-31,44.6496
2020-08-01,29.0624
2020-08-02,17.1691
2020-08-03,10.2846
2020-08-04,8.0264
2020-08-05,64.1783
2020-08-06,36.3393
2020-08-07,22.4763
2020-08-08,12.9018
2020-08-09,18.3157
2020-08-10,54.3358
2020-08-11,31.5095
2020-08-12,18.2796
2020-08-13,13.7124
2020-08-14,15.5401
2020-08-15,15.9611
2020-08-16,14.5658
2020-08-17,64.7855
2020-08-18,28.7477
2020-08-19,13.195
2020-08-20,14.0248
2020-08-21,18.3647
2020-08-22,98.6191
2020-08-23,41.4412
2020-08-24,81.336
2020-08-25,25.6461
2020-08-26,23.6806
2020-08-27,18.1558
2020-08-28,19.096
2020-08-29,22.634
2020-08-30,95.7012
2020-08-31,44.5183
2020-09-01,31.3678
2020-09-02,17.5462
2020-09-03,116.0207
2020-09-04,34.618
2020-09-05,24.4799
2020-09-06,84.0216
2020-09-07,26.1804
2020-09-08,27.8201
2020-09-09,23.6667
2020-09-10,18.8144
2020-09-11,19.5335
2020-09-12,15.5093
2020-09-13,313.701
2020-09-14,160.0296
2020-09-15,77.9234
2020-09-16,52.9769
2020-09-17,140.951
2020-09-18,115.2732
2020-09-19,98.7453
2020-09-20,173.4457
2020-09-21,106.5836
2020-09-22,63.6444
2020-09-23,51.5108
2020-09-24,50.8843
2020-09-25,114.0133
2020-09-26,46.0083
2020-09-27,40.9383
2020-09-28,157.8604
2020-09-29,70.4562
2020-09-30,35.1148
2020-10-01,150.5029
2020-10-02,45.2233
2020-10-03,30.9339
2020-10-04,199.5141
2020-10-05,75.3894
2020-10-06,50.8471
2020-10-07,37.9298
2020-10-08,133.4521
2020-10-09,65.1407
2020-10-10,48.7102
2020-10-11,116.5606
2020-10-12,63.4086
2020-10-13,38.6672
2020-10-14,32.8284
2020-10-15,36.9187
2020-10-16,30.3286
2020-10-17,30.6701
2020-10-18,32.1956
2020-10-19,27.6804
2020-10-20,22.4893
2020-10-21,146.8601
2020-10-22,76.3256
2020-10-23,132.7056
2020-10-24,81.3899
2020-10-25,49.372
2020-10-26,138.4285
2020-10-27,50.2493
2020-10-28,40.4746
2020-10-29,192.6462
2020-10-30,77.3385
2020-10-31,45.2428
2020-11-01,43.7879
2020-11-02,98.8714
2020-11-03,39.3787
2020-11-04,25.8451
2020-11-05,26.0947
2020-11-06,149.749
2020-11-07,64.838
2020-11-08,49.3335
2020-11-09,37.1922
2020-11-10,208.3422
2020-11-11,59.8913
2020-11-12,51.5571
2020-11-13,161.1799
2020-11-14,77.6129
2020-11-15,53.1607
2020-11-16,120.254
2020-11-17,227.1096
2020-11-18,109.3596
2020-11-19,48.3518
2020-11-20,45.474
2020-11-21,218.5541
2020-11-22,65.0555
2020-11-23,33.5592
2020-11-24,44.2512
2020-11-25,130.7393
2020-11-26,70.7264
2020-11-27,32.8745
2020-11-28,34.1059
2020-11-29,37.6378
2020-11-30,29.4891
2020-12-01,269.3295
2020-12-02,80.7465
2020-12-03,41.0082
2020-12-04,41.3971
2020-12-05,173.1153
2020-12-06,88.8649
2020-12-07,65.203
2020-12-08,159.84
2020-12-09,75.9731
2020-12-10,53.7957
2020-12-11,41.3651
